name,link,country,date
manuel-acuna,https://ciudadseva.com/autor/manuel-acuna/poemas/,México,1849-1873
guillermo-aguirre-y-fierro,https://ciudadseva.com/autor/guillermo-aguirre-y-fierro/poemas/,México,1887-1949
delmira-agustini,https://ciudadseva.com/autor/delmira-agustini/poemas/,Uruguay,1886-1914
anna-ajmatova,https://ciudadseva.com/autor/anna-ajmatova/poemas/,Rusia,1889-1966
al-khansa,https://ciudadseva.com/autor/al-khansa/poemas/,Arabia,575-645
wallada-bint-al-mustakfi,https://ciudadseva.com/autor/wallada-bint-al-mustakfi/poemas/,Al-Ándalus,994-1091
rafael-alberti,https://ciudadseva.com/autor/rafael-alberti/poemas/,España,1902-1999
richard-aldington,https://ciudadseva.com/autor/richard-aldington/poemas/,Inglaterra,1892-1962
vicente-aleixandre,https://ciudadseva.com/autor/vicente-aleixandre/poemas/,España,1898-1984
dante,https://ciudadseva.com/autor/dante/poemas/,Italia,1265-1321
manuel-a-alonso,https://ciudadseva.com/autor/manuel-a-alonso/poemas/,Puerto Rico,1822-1889
damaso-alonso,https://ciudadseva.com/autor/damaso-alonso/poemas/,España,1898-1990
manuel-altolaguirre,https://ciudadseva.com/autor/manuel-altolaguirre/poemas/,España,1905-1959
guadalupe-pita-amor,https://ciudadseva.com/autor/guadalupe-pita-amor/poemas/,México,1918-2000
sophia-de-mello-breyner-andresen,https://ciudadseva.com/autor/sophia-de-mello-breyner-andresen/poemas/,Portugal,1919-2004
anonimo-cantar-de-mio-cid,https://ciudadseva.com/autor/anonimo-cantar-de-mio-cid/poemas/,España,c. 1200
anonimo-el-cantar-de-roldan,https://ciudadseva.com/autor/anonimo-el-cantar-de-roldan/poemas/,Francia,c. 1100
guillaume-apollinaire,https://ciudadseva.com/autor/guillaume-apollinaire/poemas/,Francés,1880-1918
louis-aragon,https://ciudadseva.com/autor/louis-aragon/poemas/,Francia,1897-1982
rafael-arevalo-martinez,https://ciudadseva.com/autor/rafael-arevalo-martinez/poemas/,Guatemala,1884-1975
arquiloco,https://ciudadseva.com/autor/arquiloco/poemas/,Grecia antigua,712 a. C.-664 a. C.
miguel-arteche,https://ciudadseva.com/autor/miguel-arteche/poemas/,Chile,1926-2012
maria-victoria-atencia,https://ciudadseva.com/autor/maria-victoria-atencia/poemas/,España,1931
max-aub,https://ciudadseva.com/autor/max-aub/poemas/,Español/Mexicano,1903-1972
santa-teresa-de-avila,https://ciudadseva.com/autor/santa-teresa-de-avila/poemas/,España,1515-1582
emilio-ballagas,https://ciudadseva.com/autor/emilio-ballagas/poemas/,Cuba,1908-1954
carlos-barral,https://ciudadseva.com/autor/carlos-barral/poemas/,España,1928-1989
elizabeth-barrett-browning,https://ciudadseva.com/autor/elizabeth-barrett-browning/poemas/,Inglaterra,1806-1861
jose-batres-montufar,https://ciudadseva.com/autor/jose-batres-montufar/poemas/,Guatemala,1809-1844
charles-baudelaire,https://ciudadseva.com/autor/charles-baudelaire/poemas/,Francia,1821-1867
